CaseID,Activity,CompleteTimestamp,CumTimeInterval,NormalizedTime
1,A_SUBMITTED-COMPLETE,2011-10-01 07:38:44.546,0.0,0.0
1,,,,
1,,,,
1,W_Completeren aanvraag-SCHEDULE,2011-10-01 07:39:38.875,54.329,5.064579565319634e-05
1,,,,
1,,,,
1,O_SELECTED-COMPLETE,2011-10-01 18:45:09.243,39984.697,0.03727395669931294
1,,,,
1,,,,
1,O_SENT-COMPLETE,2011-10-01 18:45:11.380,39986.834,0.03727594882258616
1,,,,
1,,,,
1,W_Nabellen offertes-START,2011-10-01 19:15:41.290,41816.744,0.038981801091608974
1,,,,
1,,,,
1,W_Nabellen offertes-COMPLETE,2011-10-08 23:32:00.886,661996.34,0.6171166662151684
1,,,,
1,,,,
1,W_Valideren aanvraag-SCHEDULE,2011-10-10 18:33:04.560,816860.014,0.7614814435441679
1,,,,
1,,,,
1,A_REGISTERED-COMPLETE,2011-10-13 17:37:29.226,1072724.68,0.9999999067794443
1,,,,
1,,,,
1,A_ACTIVATED-COMPLETE,2011-10-13 17:37:29.226,1072724.68,0.9999999067794443
1,,,,
2,A_SUBMITTED-COMPLETE,2011-10-01 15:08:58.256,27013.71,0.0
2,,,,
2,,,,
2,W_Completeren aanvraag-SCHEDULE,2011-10-01 15:09:59.578,27075.032,7.668047389953403e-05
2,,,,
2,,,,
2,W_Completeren aanvraag-START,2011-10-01 21:27:57.775,49753.229,0.028434772074744052
2,,,,
2,,,,
2,O_SELECTED-COMPLETE,2011-10-01 21:35:46.016,50221.47,0.029020286927149253
2,,,,
2,,,,
2,W_Nabellen offertes-SCHEDULE,2011-10-01 21:35:47.682,50223.136,0.029022370187145933
2,,,,
2,,,,
2,W_Nabellen offertes-COMPLETE,2011-10-01 21:36:25.794,50261.248,0.029070027573096475
2,,,,
2,,,,
2,O_CANCELLED-COMPLETE,2011-10-03 23:56:17.731,231453.185,0.2556426050483009
2,,,,
2,,,,
2,W_Nabellen offertes-SCHEDULE,2011-10-03 23:56:19.941,231455.395,0.25564536855645975
2,,,,
2,,,,
2,W_Nabellen offertes-COMPLETE,2011-10-03 23:57:16.563,231512.017,0.255716171886311
2,,,,
2,,,,
2,W_Valideren aanvraag-SCHEDULE,2011-10-10 17:14:44.052,812159.506,0.9817904131878731
2,,,,
2,,,,
2,W_Valideren aanvraag-COMPLETE,2011-10-10 18:30:54.893,816730.347,0.9875060495663247
2,,,,
2,,,,
2,W_Valideren aanvraag-START,2011-10-10 21:14:52.842,826568.296,0.9998079736966442
2,,,,
2,,,,
2,A_REGISTERED-COMPLETE,2011-10-10 21:17:26.307,826721.761,0.999999874954382
2,,,,
2,,,,
3,A_SUBMITTED-COMPLETE,2011-10-01 15:10:30.287,27105.741,0.0
3,,,,
3,,,,
3,W_Completeren aanvraag-SCHEDULE,2011-10-01 15:11:13.390,27148.844,1.451440075096901e-05
3,,,,
3,,,,
3,W_Completeren aanvraag-START,2011-10-03 18:12:02.445,210797.899,0.06185605633070483
3,,,,
3,,,,
3,W_Completeren aanvraag-COMPLETE,2011-10-03 20:32:43.313,219238.767,0.06469841395866652
3,,,,
3,,,,
3,A_FINALIZED-COMPLETE,2011-10-03 20:40:14.632,219690.086,0.06485039003533234
3,,,,
3,,,,
3,O_SENT-COMPLETE,2011-10-03 20:40:15.651,219691.105,0.06485073317094622
3,,,,
3,,,,
