CaseID,Activity,Resource,CompleteTimestamp,(case) AMOUNT_REQ,concept:name,lifecycle:transition,CumTimeInterval
1,,,,,,,
1,A_PARTLYSUBMITTED-COMPLETE,Value 1,2011-10-01 07:38:44.880,20000.0,A_PARTLYSUBMITTED,COMPLETE,0.334
1,,,,,,,
1,W_Completeren aanvraag-SCHEDULE,Value 1,2011-10-01 07:39:38.875,20000.0,W_Completeren aanvraag,SCHEDULE,54.329
1,,,,,,,
1,A_ACCEPTED-COMPLETE,Value 3,2011-10-01 18:42:43.308,20000.0,A_ACCEPTED,COMPLETE,39838.762
1,,,,,,,
1,A_FINALIZED-COMPLETE,Value 3,2011-10-01 18:45:09.243,20000.0,A_FINALIZED,COMPLETE,39984.697
1,,,,,,,
1,O_SENT-COMPLETE,Value 3,2011-10-01 18:45:11.380,20000.0,O_SENT,COMPLETE,39986.834
1,,,,,,,
1,W_Completeren aanvraag-COMPLETE,Value 2,2011-10-01 18:45:13.917,20000.0,W_Completeren aanvraag,COMPLETE,39989.371
1,,,,,,,
1,W_Nabellen offertes-COMPLETE,Value 2,2011-10-01 19:17:08.924,20000.0,W_Nabellen offertes,COMPLETE,41904.378
1,,,,,,,
1,W_Nabellen offertes-COMPLETE,Value 4,2011-10-08 23:32:00.886,20000.0,W_Nabellen offertes,COMPLETE,661996.34
1,,,,,,,
1,O_SENT_BACK-COMPLETE,Value 5,2011-10-10 18:33:03.668,20000.0,O_SENT_BACK,COMPLETE,816859.122
1,,,,,,,
1,W_Nabellen offertes-COMPLETE,Value 5,2011-10-10 18:33:05.791,20000.0,W_Nabellen offertes,COMPLETE,816861.245
1,,,,,,,
1,A_REGISTERED-COMPLETE,Value 6,2011-10-13 17:37:29.226,20000.0,A_REGISTERED,COMPLETE,1072724.68
1,,,,,,,
1,O_ACCEPTED-COMPLETE,Value 6,2011-10-13 17:37:29.226,20000.0,O_ACCEPTED,COMPLETE,1072724.68
1,,,,,,,
1,W_Valideren aanvraag-COMPLETE,Value 6,2011-10-13 17:37:37.026,20000.0,W_Valideren aanvraag,COMPLETE,1072732.48
2,,,,,,,
2,A_PARTLYSUBMITTED-COMPLETE,Value 1,2011-10-01 15:09:02.195,5000.0,A_PARTLYSUBMITTED,COMPLETE,27017.649
2,,,,,,,
2,W_Completeren aanvraag-SCHEDULE,Value 1,2011-10-01 15:09:59.578,5000.0,W_Completeren aanvraag,SCHEDULE,27075.032
2,,,,,,,
2,W_Completeren aanvraag-COMPLETE,Value 2,2011-10-01 18:43:13.178,5000.0,W_Completeren aanvraag,COMPLETE,39868.632
2,,,,,,,
2,A_ACCEPTED-COMPLETE,Value 3,2011-10-01 21:33:54.614,5000.0,A_ACCEPTED,COMPLETE,50110.068
2,,,,,,,
2,O_SELECTED-COMPLETE,Value 3,2011-10-01 21:35:46.016,5000.0,O_SELECTED,COMPLETE,50221.47
2,,,,,,,
2,O_SENT-COMPLETE,Value 3,2011-10-01 21:35:47.583,5000.0,O_SENT,COMPLETE,50223.037
2,,,,,,,
2,W_Completeren aanvraag-COMPLETE,Value 2,2011-10-01 21:35:48.791,5000.0,W_Completeren aanvraag,COMPLETE,50224.245
2,,,,,,,
2,W_Nabellen offertes-COMPLETE,Value 2,2011-10-01 21:36:25.794,5000.0,W_Nabellen offertes,COMPLETE,50261.248
2,,,,,,,
2,O_SELECTED-COMPLETE,Value 7,2011-10-03 23:56:17.731,5000.0,O_SELECTED,COMPLETE,231453.185
2,,,,,,,
2,O_CREATED-COMPLETE,Value 7,2011-10-03 23:56:19.613,5000.0,O_CREATED,COMPLETE,231455.067
2,,,,,,,
2,W_Nabellen offertes-SCHEDULE,Value 2,2011-10-03 23:56:19.941,5000.0,W_Nabellen offertes,SCHEDULE,231455.395
2,,,,,,,
2,W_Nabellen offertes-START,Value 2,2011-10-03 23:56:34.792,5000.0,W_Nabellen offertes,START,231470.246
