CaseID,Activity,CompleteTimestamp,CumTimeInterval,NormalizedTime
1,Creation,2018-01-02 13:39:47,0.0,0.0
1,,,,
1,DeviceReceived,2018-01-05 16:45:34,270347.0,0.2109967563034956
1,,,,
1,InDelivery,2018-01-17 00:00:00,1246813.0,0.973095683388498
1,,,,
1,Completed,2018-01-17 09:34:32,1281285.0,0.9999999219533575
2,Creation,2018-01-02 15:43:48,7441.0,0.0
2,,,,
2,Letter,2018-01-08 00:00:00,469213.0,0.3388811298327339
2,,,,
2,StatusRequest,2018-01-17 14:02:45,1297378.0,0.9466474969747998
2,,,,
2,InDelivery,2018-01-18 00:00:00,1333213.0,0.9729457681726117
2,,,,
2,Completed,2018-01-18 10:14:25,1370078.0,0.9999999266128891
3,Creation,2018-01-16 12:16:52,1204625.0,0.0
3,,,,
3,DeviceReceived,2018-01-19 12:40:53,1465266.0,0.35539300405883323
3,,,,
3,InDelivery,2018-01-25 00:00:00,1938013.0,0.9999998636465468
3,,,,
4,Creation,2018-06-13 13:28:01,13996094.0,0.0
4,,,,
4,DeviceReceived,2018-06-16 17:34:11,14270064.0,0.22805498325152282
4,,,,
4,NoteWorkshop,2018-06-27 11:10:14,15197427.0,0.9999999167591402
4,,,,
5,Creation,2018-06-13 14:02:16,13998149.0,0.0
5,,,,
5,DeviceReceived,2018-06-19 10:16:37,14503010.0,0.7543219983053712
5,,,,
5,StockEntry,2018-06-21 00:00:00,14638813.0,0.957227729458826
5,,,,
5,NoteWorkshop,2018-06-21 07:57:07,14667440.0,0.9999998505881821
5,,,,
6,Creation,2018-06-13 15:47:06,14004439.0,0.0
6,,,,
6,DeviceReceived,2018-06-20 13:31:57,14601130.0,0.5394235810039396
6,,,,
6,Transmission,2018-06-26 08:42:17,15102150.0,0.99235818627634
6,,,,
6,NoteHotline,2018-06-26 11:03:10,15110603.0,0.9999999095975
6,,,,
7,Creation,2018-06-13 15:58:27,14005120.0,0.0
7,,,,
7,DeviceReceived,2018-06-16 09:52:52,14242385.0,0.07557911684003
7,,,,
7,InDelivery,2018-07-20 00:00:00,17144413.0,0.9999999681456949
7,,,,
8,Creation,2018-06-13 16:50:25,14008238.0,0.0
8,,,,
8,DeviceReceived,2018-06-19 11:42:03,14508136.0,0.3065109902625502
8,,,,
8,InDelivery,2018-07-02 00:00:00,15589213.0,0.9693701771768146
8,,,,
8,Completed,2018-07-02 13:52:35,15639168.0,0.9999999386852937
9,Creation,2018-06-13 08:48:11,13979304.0,0.0
9,,,,
9,Letter,2018-06-19 00:00:00,14466013.0,0.9211760780276788
9,,,,
9,DeviceReceived,2018-06-19 10:48:00,14504893.0,0.994762812428966
9,,,,
9,Completed,2018-06-19 11:34:07,14507660.0,0.9999998107337078
10,Creation,2018-01-16 12:32:01,1205534.0,0.0
10,,,,
10,Letter,2018-01-23 00:00:00,1765213.0,0.4277667985020492
10,,,,
10,InDelivery,2018-01-31 00:00:00,2456413.0,0.9560560698962169
10,,,,
10,NoteHotline,2018-01-31 15:58:15,2513908.0,0.9999999235692605
10,,,,
11,Creation,2018-06-13 08:55:22,13979735.0,0.0
