CaseID,Activity,CompleteTimestamp,CumTimeInterval,NormalizedTime
1,Creation,2018-01-02 13:39:47,0.0,0.0
1,Letter,2018-01-05 00:00:00,210013.0,0.16390809508360005
1,,,,
1,StockEntry,2018-01-17 00:00:00,1246813.0,0.973095683388498
1,InDelivery,2018-01-17 00:00:00,1246813.0,0.973095683388498
1,NoteWorkshop,2018-01-17 07:37:19,1274252.0,0.9945109015940323
1,Completed,2018-01-17 09:34:32,1281285.0,0.9999999219533575
2,Creation,2018-01-02 15:43:48,7441.0,0.0
2,,,,
2,,,,
2,DeviceReceived,2018-01-08 13:17:55,517088.0,0.3740152091851895
2,,,,
2,StockEntry,2018-01-18 00:00:00,1333213.0,0.9729457681726117
2,,,,
2,NoteWorkshop,2018-01-18 10:13:29,1370022.0,0.9999588298307744
2,Completed,2018-01-18 10:14:25,1370078.0,0.9999999266128891
3,Creation,2018-01-16 12:16:52,1204625.0,0.0
3,Letter,2018-01-19 00:00:00,1419613.0,0.27704492798427227
3,,,,
3,,,,
3,,,,
3,Completed,2018-01-25 11:50:16,1980629.0,0.9999998711347015
4,Creation,2018-06-13 13:28:01,13996094.0,0.0
4,NoteHotline,2018-06-13 13:30:54,13996267.0,0.00014400668723770282
4,DeviceReceived,2018-06-16 17:34:11,14270064.0,0.22805498325152282
4,InDelivery,2018-06-27 00:00:00,15157213.0,0.9665254374494467
4,NoteWorkshop,2018-06-27 11:10:14,15197427.0,0.9999999167591402
4,,,,
5,,,,
5,Letter,2018-06-19 00:00:00,14466013.0,0.0
5,,,,
5,NoteHotline,2018-06-19 10:18:13,14503106.0,0.18410437660470294
5,StockEntry,2018-06-21 00:00:00,14638813.0,0.8576614530313716
5,InDelivery,2018-06-21 00:00:00,14638813.0,0.8576614530313716
5,NoteWorkshop,2018-06-21 07:57:07,14667440.0,0.99974637441985
5,Completed,2018-06-21 07:57:58,14667491.0,0.9999995036681406
6,,,,
6,Letter,2018-06-20 00:00:00,14552413.0,0.0
6,,,,
6,,,,
6,Transmission,2018-06-26 08:42:17,15102150.0,0.981192955376663
6,Approved,2018-06-26 11:02:54,15110587.0,0.9962516561090367
6,NoteHotline,2018-06-26 11:03:10,15110603.0,0.9962802135597559
6,Completed,2018-06-26 11:37:54,15112687.0,0.999999821515933
7,,,,
7,NoteHotline,2018-06-13 16:13:50,14006043.0,0.0
7,DeviceReceived,2018-06-16 09:52:52,14242385.0,0.5776356634334106
7,NoteWorkshop,2018-06-18 09:53:04,14415197.0,0.9999997555933083
7,,,,
7,,,,
8,Creation,2018-06-13 16:50:25,14008238.0,0.0
8,NoteHotline,2018-06-13 17:04:36,14009089.0,0.0005217881502095032
8,,,,
8,StockEntry,2018-07-02 00:00:00,15589213.0,0.9693701771768146
8,,,,
8,NoteWorkshop,2018-07-02 13:05:53,15636366.0,0.9982819006160962
8,Completed,2018-07-02 13:52:35,15639168.0,0.9999999386852937
9,,,,
9,,,,
9,,,,
9,InDelivery,2018-06-19 00:00:00,14466013.0,0.0
9,DeviceReceived,2018-06-19 10:48:00,14504893.0,0.9999974279901543
9,,,,
9,,,,
10,Creation,2018-01-16 12:32:01,1205534.0,0.0
10,DeviceReceived,2018-01-18 10:17:24,1370257.0,0.12569543479473488
10,Letter,2018-01-23 00:00:00,1765213.0,0.42707512157065153
10,Transmission,2018-01-30 13:49:35,2419788.0,0.926562680871803
10,InDelivery,2018-01-31 00:00:00,2456413.0,0.9545101763603333
10,,,,
10,,,,
10,Completed,2018-01-31 16:33:34,2516027.0,0.999999923692845
11,Creation,2018-06-13 08:55:22,13979735.0,0.0
11,,,,
11,Letter,2018-06-18 00:00:00,14379613.0,0.87683487078418
11,,,,
11,,,,
11,,,,
11,Completed,2018-06-18 15:36:09,14435782.0,0.9999997807244033
12,Creation,2018-06-13 11:09:39,13987792.0,0.0
12,Letter,2018-06-22 00:00:00,14725213.0,0.2440930518180492
12,DeviceReceived,2018-06-22 11:53:32,14768025.0,0.25826421284334455
12,,,,
12,,,,
12,,,,
12,NoteWorkshop,2018-07-04 13:30:36,15810649.0,0.6033822309886668
12,,,,
12,InDelivery,2018-07-18 00:00:00,16971613.0,0.9876718644692561
12,Completed,2018-07-18 10:20:44,17008857.0,0.9999999668990913
13,Creation,2018-06-13 11:57:03,13990636.0,0.0
13,,,,
13,,,,
13,,,,
13,,,,
13,,,,
14,,,,
14,Letter,2018-06-14 00:00:00,14034013.0,0.0
14,,,,
14,,,,
14,,,,
14,Completed,2018-06-14 14:28:24,14086117.0,0.9999980807652373
15,,,,
15,,,,
15,DeviceReceived,2018-06-15 11:55:00,14163313.0,0.0
15,NoteWorkshop,2018-06-20 12:38:17,14597910.0,0.13289273552716718
15,InDelivery,2018-07-23 00:00:00,17403613.0,0.9908313470380142
15,Completed,2018-07-23 08:19:44,17433597.0,0.9999999694216168
16,Creation,2018-06-13 09:26:35,13981608.0,0.0
16,,,,
16,NoteWorkshop,2018-06-15 11:22:40,14161373.0,0.0562897206700307
16,,,,
16,,,,
16,Completed,2018-07-20 08:32:42,17175175.0,0.9999999686870521
17,Creation,2018-06-13 09:26:35,13981608.0,0.0
17,,,,
17,DeviceReceived,2018-06-15 11:58:11,14163504.0,0.9999994502356016
17,,,,
17,,,,
18,,,,
